NAME,CITY_LOCATION_Y,CITY_LOCATION_X,COUNTRY_NAME,CITY_POPULATION,FLIGHTS_NUMBER_FROM_CITY,FLIGHTS_NUMBER_TO_CITY,ORIGIN_CITIES_NUMBER,DESTINATION_CITIES_NUMBER,TOTAL_CONNECTED_CITIES_NUMBER,ORIGIN_COUNTRIES_NUMBER,DESTINATION_COUNTRIES_NUMBER,BUSIEST_MONTH_FLIGHTS_TO_CITY,BUSIEST_MONTH_FLIGHTS_FROM_CITY,FLIGHTS_NUMBER_FROM_CITY_TO_POPULATION_RATIO,FLIGHTS_NUMBER_TO_CITY_TO_POPULATION_RATIO,TOTAL_FLIGHTS_NUMBER_FOR_CITY_TO_POPULATION_RATIO
New York,40.6943,-73.9249,United States,19354922,183449,183503,86,84,86,2,2,3,3,0.009478157545662029,0.009480947533655781,0.01895910507931781
Los Angeles,34.1139,-118.4068,United States,12815475,185311,185349,72,71,72,1,1,7,7,0.014459940033436139,0.014462905198597789,0.02892284523203393
Chicago,41.8373,-87.6862,United States,8675982,345857,345773,147,147,148,2,2,7,7,0.039863729546695696,0.03985404764555758,0.07971777719225329
Miami,25.7839,-80.2102,United States,6381966,63182,63164,48,49,49,2,2,3,3,0.009900084080673574,0.009897263633181374,0.019797347713854947
Dallas,32.7936,-96.7662,United States,5733259,59585,59589,50,50,50,1,1,12,12,0.01039286730287259,0.01039356498633674,0.02078643228920933
Philadelphia,40.0077,-75.1339,United States,5637884,61315,61311,43,42,43,2,2,7,7,0.010875534154303281,0.010874824668262064,0.021750358822565347
Houston,29.7869,-95.3905,United States,5446468,189583,189565,111,110,111,2,2,7,7,0.034808429977005284,0.03480512508289776,0.06961355505990305
Washington,38.9047,-77.0163,United States,5289420,102962,103009,71,73,74,2,2,1,1,0.019465650298142328,0.019474535960464473,0.038940186258606804
Atlanta,33.7627,-84.4225,United States,5228750,320613,320685,149,149,150,2,2,7,7,0.06131733205833134,0.061331102079847,0.12264843413817834
Boston,42.3188,-71.0846,United States,4637537,102955,103029,54,54,54,2,2,7,7,0.02220036195937628,0.02221631870538176,0.04441668066475804
Phoenix,33.5722,-112.0891,United States,4081849,142083,142083,71,71,71,1,1,3,3,0.03480848997598882,0.03480848997598882,0.06961697995197764
Seattle,47.6211,-122.3244,United States,3643765,106678,106685,66,66,66,1,1,8,8,0.029276860609836256,0.029278781699697977,0.05855564230953423
San Francisco,37.7562,-122.443,United States,3603761,139887,139847,72,71,72,1,1,8,8,0.038816947072794226,0.0388058475575933,0.07762279463038753
Detroit,42.3834,-83.1024,United States,3522206,102449,102277,101,101,101,2,2,5,5,0.029086600840495986,0.02903776780801577,0.058124368648511754
San Diego,32.8312,-117.1225,United States,3210314,66793,66793,43,42,43,1,1,7,7,0.02080575295749886,0.02080575295749886,0.04161150591499772
Minneapolis,44.9635,-93.2678,United States,2926757,108904,108839,112,112,112,2,2,7,7,0.037209785438285445,0.03718757655657781,0.07439736199486326
Tampa,27.9942,-82.4451,United States,2804240,60091,60099,54,54,55,2,2,3,3,0.021428622371836934,0.02143147519470516,0.04286009756654209
Denver,39.7621,-104.8759,United States,2787266,186456,186354,129,128,129,1,1,7,7,0.06689566047876307,0.06685906547850115,0.1337547259572642
Baltimore,39.3051,-76.6144,United States,2170504,80143,80138,62,62,62,2,2,7,7,0.0369236822415439,0.036921378629111025,0.07384506087065493
St. Louis,38.6358,-90.2451,United States,2078283,43940,43937,43,44,44,1,1,7,7,0.021142452688108406,0.021141009188835207,0.04228346187694361
Las Vegas,36.2333,-115.2654,United States,2073045,128549,128566,72,72,72,1,1,5,5,0.06200974894418597,0.06201794944152201,0.12402769838570799
Portland,45.5371,-122.65,United States,2052796,45074,45072,43,42,43,1,1,7,7,0.02195736936354124,0.02195639508260928,0.04391376444615052
San Antonio,29.4658,-98.5254,United States,2002530,25073,25070,27,27,27,1,1,5,5,0.01252066136337533,0.012519163258478025,0.025039824621853356
Sacramento,38.5667,-121.4683,United States,1854698,35886,35886,25,25,25,1,1,5,5,0.019348702592012285,0.019348702592012285,0.03869740518402457
San Jose,37.3021,-121.8489,United States,1821899,36496,36499,22,22,22,1,1,7,7,0.02003184589266474,0.020033492526204802,0.04006533841886954
Orlando,28.4772,-81.3369,United States,1776841,105479,105471,67,67,67,2,2,3,3,0.059363218205793315,0.05935871583332442,0.11872193403911774
