ORIGIN_CITY,DESTINATION_CITY,NUMBER_OF_FLIGHTS
Aberdeen,Minneapolis,671
Abilene,Dallas-Fort Worth,2329
Adak Island,Anchorage,96
Agana,Honolulu,334
Aguadilla,Fort Lauderdale,164
Aguadilla,New York,447
Aguadilla,Newark,291
Aguadilla,Orlando,441
Akron,Atlanta,2042
Akron,Boston,299
Akron,Chicago,1237
Akron,Denver,273
Akron,Detroit,189
Akron,Fort Myers,198
Akron,Las Vegas,47
Akron,New York,500
Akron,Newark,120
Akron,Orlando,547
Akron,Tampa,375
Akron,Washington,273
Albany,Atlanta,1813
Albany,Baltimore,1701
Albany,Charlotte,705
Albany,Chicago,1540
Albany,Denver,9
Albany,Detroit,496
Albany,Fort Lauderdale,345
Albany,Fort Myers,5
Albany,Las Vegas,274
Albany,Minneapolis,201
Albany,Newark,169
Albany,Orlando,691
Albany,Tampa,383
Albany,Washington,3
Albuquerque,Atlanta,801
Albuquerque,Baltimore,511
Albuquerque,Charlotte,95
Albuquerque,Chicago,1213
Albuquerque,Dallas,1581
Albuquerque,Dallas-Fort Worth,1797
Albuquerque,Denver,1593
Albuquerque,Houston,1795
Albuquerque,Kansas City,315
Albuquerque,Las Vegas,1265
Albuquerque,Los Angeles,1834
Albuquerque,Minneapolis,215
Albuquerque,New York,274
Albuquerque,Oakland,799
Albuquerque,Orlando,99
Albuquerque,Phoenix,2470
Albuquerque,Portland,229
Albuquerque,Salt Lake City,949
Albuquerque,San Diego,615
Albuquerque,San Francisco,334
Albuquerque,Seattle,408
Alexandria,Atlanta,1233
Alexandria,Dallas-Fort Worth,987
Alexandria,Houston,926
Allentown,Atlanta,898
Allentown,Chicago,665
Allentown,Detroit,711
Alpena,Detroit,573
Amarillo,Dallas,1216
Amarillo,Dallas-Fort Worth,1202
Amarillo,Denver,563
Amarillo,Houston,899
Amarillo,Las Vegas,334
Anchorage,Adak Island,96
Anchorage,Atlanta,102
Anchorage,Barrow,189
Anchorage,Bethel,896
Anchorage,Chicago,640
Anchorage,Cordova,331
Anchorage,Dallas-Fort Worth,119
Anchorage,Deadhorse,666
Anchorage,Denver,408
Anchorage,Dillingham,77
Anchorage,Fairbanks,334
Anchorage,Honolulu,275
Anchorage,Houston,84
Anchorage,Juneau,1034
Anchorage,Kahului,67
Anchorage,King Salmon,63
Anchorage,Kodiak,460
Anchorage,Kona,44
Anchorage,Kotzebue,616
Anchorage,Las Vegas,84
Anchorage,Long Beach,118
Anchorage,Los Angeles,382
Anchorage,Minneapolis,575
Anchorage,Newark,7
Anchorage,Nome,379
Anchorage,Phoenix,393
Anchorage,Portland,913
Anchorage,Salt Lake City,98
Anchorage,San Francisco,172
Anchorage,Seattle,6383
Appleton,Atlanta,416
Appleton,Chicago,1434
Appleton,Detroit,477
Appleton,Minneapolis,521
Arcata CA,San Francisco,1320
Asheville,Atlanta,1856
Asheville,Chicago,715
Asheville,Newark,174
Aspen,Atlanta,101
Aspen,Chicago,621
Aspen,Dallas-Fort Worth,335
Aspen,Denver,1091
Aspen,Houston,415
Aspen,Los Angeles,774
Aspen,Minneapolis,24
Aspen,San Francisco,201
Atlanta,Akron,2043
Atlanta,Albany,1813
Atlanta,Albuquerque,803
Atlanta,Alexandria,1233
Atlanta,Allentown,904
Atlanta,Anchorage,102
Atlanta,Appleton,414
Atlanta,Asheville,1858
Atlanta,Aspen,100
Atlanta,Atlantic City,178
Atlanta,Austin,3154
Atlanta,BRISTOL,1929
Atlanta,Baltimore,5838
Atlanta,Baton Rouge,2512
Atlanta,Bentonville,1576
Atlanta,Birmingham,3211
Atlanta,Bloomington,877
Atlanta,Boston,4685
Atlanta,Bozeman,97
Atlanta,Brunswick,878
Atlanta,Buffalo,1568
Atlanta,Burlington,301
Atlanta,Bush Field,2361
Atlanta,Cedar Rapids,883
Atlanta,Charleston,4511
Atlanta,Charlotte,6306
Atlanta,Charlottesville VA,940
Atlanta,Chattanooga,2740
Atlanta,Chicago,11037
Atlanta,Cincinnati,2376
Atlanta,Cleveland,2850
Atlanta,Colorado Springs,305
Atlanta,Columbia,2685
Atlanta,Columbus,4344
Atlanta,Columbus Mississippi,927
Atlanta,Dallas,2856
Atlanta,Dallas-Fort Worth,7056
Atlanta,Dayton,1303
Atlanta,Daytona Beach,1489
Atlanta,Denver,4987
Atlanta,Des Moines,925
Atlanta,Detroit,4861
Atlanta,Dothan,1260
Atlanta,El Paso,700
Atlanta,Elmira,15
Atlanta,Evansville,960
Atlanta,Fargo,39
Atlanta,Fayetteville,1634
Atlanta,Flint,954
Atlanta,Fort Lauderdale,7419
Atlanta,Fort Myers,3921
Atlanta,Fort Smith,672
Atlanta,Fort Wayne,1077
Atlanta,Gainesville,2088
Atlanta,Grand Junction,1
Atlanta,Grand Rapids,1291
Atlanta,Green Bay,405
Atlanta,Greensboro,2667
Atlanta,Greenville,2470
Atlanta,Gulfport,1414
Atlanta,Harrisburg,955
Atlanta,Hayden,95
Atlanta,Honolulu,334
Atlanta,Houston,7877
Atlanta,Huntsville,2463
Atlanta,Indianapolis,3811
Atlanta,Jacksn Hole,103
Atlanta,Jackson,2297
Atlanta,Jacksonville,5106
Atlanta,Jacksonville NC,1136
Atlanta,Kalamazoo,19
Atlanta,Kalispell,25
Atlanta,Kansas City,3478
Atlanta,Key West,1423
Atlanta,Killeen,597
Atlanta,Knoxville,1719
Atlanta,Lafayette,1197
Atlanta,Lansing,13
Atlanta,Las Vegas,4099
Atlanta,Lexington KY,2280
Atlanta,Lincoln,325
Atlanta,Little Rock,1976
Atlanta,Los Angeles,5669
Atlanta,Louisville,2740
Atlanta,MONTGOMERY,2202
Atlanta,Madison,893
Atlanta,Manchester NH,333
Atlanta,Melbourne,1332
Atlanta,Memphis,3111
Atlanta,Miami,5149
Atlanta,Milwaukee,3160
Atlanta,Minneapolis,4713
Atlanta,Missoula,15
Atlanta,Mobile,2254
Atlanta,Moline,760
Atlanta,Monroe,1210
Atlanta,Montrose CO,35
Atlanta,Myrtle Beach,1421
Atlanta,Nashville,3230
Atlanta,New Bern,575
Atlanta,New Orleans,5572
Atlanta,New York,10144
Atlanta,Newark,5091
Atlanta,Newport News,1260
Atlanta,Norfolk,2672
Atlanta,Oakland,64
